SRC_NAME,CODE,SRC_TYPE,SRC_WEIGHT,DEP_BEST,DEP_UPPER,DEP_LOWER,MIN_MAG,MIN_RMAG,MMAX_BEST,MMAX_LOWER,MMAX_UPPER,N0_BEST,N0_LOWER,N0_UPPER,BETA_BEST,BETA_LOWER,BETA_UPPER,BETA_FIX,BETA_FIX_S,YCOMP,MCOMP,YMAX,SHEEF_FILE
BIN - BAFFIN ISLAND NORTH,BIN,area,1.0,10.0,5.0,20.0,4.8,2.4,7.3,7.0,7.6,620.4278,873.7286,437.0919,1.917715,2.075999,1.759430,-99.0,-99.0,1976;1965;1951,2.8;3.3;5.0,2015.0,FULL
BIS - BAFFIN ISLAND SOUTH,BIS,area,1.0,10.0,5.0,20.0,4.8,2.4,7.3,7.0,7.6,368.2310,755.4654,174.9970,2.139037,2.462940,1.815134,-99.0,-99.0,1976;1965;1951,2.8;3.3;5.0,2015.0,FULL
BFB - BAFFIN BAY,BFB,area,1.0,10.0,5.0,20.0,4.8,2.4,7.8,7.4,8.0,249.7748,347.4508,177.6676,1.485843,1.620709,1.350977,-99.0,-99.0,1965;1951;1930;1917;1850,3.3;5.0;6.0;6.3;7.4,2015.0,FULL
LRN - LABRADOR RIDGE NORTH,LRN,area,1.0,10.0,5.0,20.0,4.8,2.4,7.8,7.4,8.0,192.5403,266.5075,136.6182,1.525885,1.670051,1.381719,-99.0,-99.0,1981;1965;1951,3.3;3.6;5.0,2015.0,FULL
LBS - LABRADOR SHELF,LBS,area,1.0,10.0,5.0,20.0,4.8,2.4,7.8,7.4,8.0,64.42374,143.3821,27.01678,1.554404,1.882375,1.226432,-99.0,-99.0,1981;1965;1938,3.4;3.6;5.0,2015.0,FULL
SCI - SOMERSET-CORNWALLIS ISLAND,SCI,area,1.0,10.0,5.0,20.0,4.8,2.4,7.3,7.0,7.6,510.2783,1532.604,163.3618,2.096774,2.502333,1.691214,-99.0,-99.0,1965;1951;1930;1917,3.3;5.0;6.0;6.3,2015.0,FULL
DVI - DEVON ISLAND,DVI,area,1.0,10.0,5.0,20.0,4.8,2.4,7.3,7.0,7.6,7768.362,48744.34,1219.803,3.225806,3.905512,2.546100,-99.0,-99.0,1965;1951;1930;1917,3.3;5.0;6.0;6.3,2015.0,FULL
INOH - INNUITIAN OROGEN,INOH,area,1.0,10.0,5.0,20.0,4.8,2.4,7.5,7.2,7.8,3265.406,6054.382,1742.040,2.277870,2.501716,2.054023,-99.0,-99.0,1965;1951;1935;1917,3.3;5.0;6.0;6.3,2015.0,FULL
UGV - UNGAVA,UGV,area,1.0,10.0,5.0,20.0,4.8,2.4,7.3,7.0,7.6,1109.149,6291.067,189.2412,2.287822,2.882747,1.692897,-99.0,-99.0,1965;1951;1930;1917,3.3;5.0;6.0;6.3,2015.0,FULL
QES - QUEEN ELIZABETH SHELF,QES,area,1.0,10.0,5.0,20.0,4.8,2.4,7.8,7.4,8.0,113.5661,174.2838,71.68900,1.295546,1.453224,1.137868,-99.0,-99.0,1965;1951;1935;1917,3.9;5.5;6.0;6.3,2015.0,FULL
WGB - WAGER BAY,WGB,area,1.0,10.0,5.0,20.0,4.8,2.4,7.3,7.0,7.6,635.0048,1164.610,341.1453,2.138364,2.405922,1.870806,-99.0,-99.0,1976;1965;1951;1930;1917,2.8;3.3;5.0;6.0;6.3,2015.0,FULL
BTH - BOOTHIA,BTH,area,1.0,10.0,5.0,20.0,4.8,2.4,7.3,7.0,7.6,57.44160,123.3466,25.34222,1.526104,1.841438,1.210770,-99.0,-99.0,1965;1951;1930;1917,3.3;5.0;6.0;6.3,2015.0,FULL
GLN - GREENLAND NORTH,GLN,area,1.0,10.0,5.0,20.0,4.8,2.4,7.5,7.2,7.8,209.1350,469.8715,87.91257,1.875,2.196873,1.553126,-99.0,-99.0,1965;1951;1930,3.3;5.0;6.0,2015.0,FULL
GLS - GREENLAND SOUTH,GLS,area,1.0,10.0,5.0,20.0,4.8,2.4,7.5,7.2,7.8,1196.189,3193.231,432.0911,2.333333,2.699904,1.966761,-99.0,-99.0,1965;1951;1930,3.3;5.0;6.0,2015.0,FULL
LRS - LABRADOR RIDGE SOUTH,LRS,area,1.0,10.0,5.0,20.0,4.8,2.4,7.8,7.4,8.0,309.3013,944.8289,94.50337,2.040816,2.476312,1.605320,-99.0,-99.0,1981;1965;1951,3.3;3.6;5.0,2015.0,FULL
GLA - GUSTAF-LOUGHEED ARCH,GLA,area,1.0,10.0,5.0,20.0,4.8,2.4,7.5,7.2,7.8,30.86960,50.38346,18.09127,1.281337,1.504024,1.058649,-99.0,-99.0,1965;1951;1935;1917,3.3;5.0;6.0;6.3,2015.0,FULL
SCCEAHE - Stable Cratonic Core Eastern Arctic H East (area 0.8687M km^2) Simplified magnitude recurr,SCCEAHE,area,1.0,10.0,5.0,20.0,4.8,2.4,7.0,6.8,7.2,12134.48,603734.3,228.1057,3.076923,4.260355,1.893491,-99.0,-99.0,1965;1951;1935;1917,3.9;5.5;6.0;6.3,2015.0,FULL
SCCEAHW - Stable Cratonic Core Eastern Arctic H West (area 1.3402M km^2) Simplified magnitude recurr,SCCEAHW,area,1.0,10.0,5.0,20.0,4.8,2.4,7.0,6.8,7.2,nan,nan,nan,nan,nan,nan,-99.0,-99.0,1965;1951;1935;1917,3.9;5.5;6.0;6.3,2015.0,FULL
JMS    - JAMES BAY,JMS,area,1.0,10.0,5.0,20.0,4.8,2.4,7.0,6.8,7.2,421647.0,8999438.,18344.17,5.833333,7.268105,4.398561,-99.0,-99.0,1982;1975;1963;1953;1900;1850,2.4;2.8;3.3;4.3;4.8;6.0,2015.0,FULL
ACM.4 - ARCTIC CONTINENTAL MARGIN - WESTERN ARCTIC (A0 values x0.4),ACM.4,area,1.0,10.0,5.0,20.0,4.8,2.4,7.8,7.4,8.0,705.2099,1146.414,427.5185,1.602787,1.762312,1.443262,-99.0,-99.0,1965;1951;1935;1917,3.9;5.5;6.0;6.3,2015.0,FULL
AIS - ALASKA INLAND - SHALLOW,AIS,area,1.0,15.0,5.0,30.0,4.8,2.4,8.0,7.8,8.2,131303.4,260192.0,65849.46,2.161908,2.316655,2.007161,-99.0,-99.0,1961;1951;1935;1917,5.0;5.5;6.0;6.8,2015.0,FULL
AKC - ALASKA COASTAL,AKC,area,1.0,20.0,10.0,30.0,7.0,2.4,9.3,9.3,9.5,86645.39,126339.6,59273.64,1.925390,2.011958,1.838823,-99.0,-99.0,1951;1930;1917,5.0;6.0;6.3,2015.0,FULL
AKN - ALASKA NORTH,AKN,area,1.0,10.0,5.0,15.0,4.8,2.4,7.8,7.5,8.0,46287.70,81335.34,26194.20,2.268897,2.423503,2.114291,-99.0,-99.0,1965;1961;1951;1935;1917,4.2;5.0;5.5;6.0;6.8,2015.0,FULL
BFT - BEAUFORT SEA,BFT,area,1.0,15.0,10.0,35.0,4.8,2.4,7.5,7.2,7.8,4250.457,8351.106,2136.644,2.188567,2.411990,1.965145,-99.0,-99.0,1969;1965;1961;1951;1917,3.6;3.8;5.0;5.5;6.0,2015.0,FULL
AID - ALASKA INLAND - DEEP,AID,area,1.0,90.0,50.0,130.0,4.8,2.4,7.6,7.5,7.7,99721.34,128023.8,77574.75,2.101476,2.170527,2.032424,-99.0,-99.0,1965;1961;1951;1935;1917,4.2;5.0;5.5;6.0;6.8,2015.0,DEEP
DCR - DENALI CENTRAL REGION,DCR,area,1.0,10.0,5.0,15.0,4.8,2.4,6.7,6.5,6.9,72663.34,142534.5,36793.09,2.514948,2.707232,2.322664,-99.0,-99.0,1972;1965;1961;1951;1935;1917,4.0;4.3;5.0;5.5;6.0;6.3,2015.0,FULL
DSR - DENALI SOUTH REGION,DSR,area,1.0,10.0,5.0,15.0,4.8,2.4,7.2,6.9,7.5,1846.876,3988.337,836.6393,1.818181,2.042131,1.594231,-99.0,-99.0,1965;1961;1951;1935;1917,4.2;5.0;5.5;6.0;6.8,2015.0,FULL
DCZ - DAWSON COMPRESSION ZONE,DCZ,area,1.0,10.0,5.0,15.0,4.8,2.4,7.6,7.4,7.8,49074.27,320685.5,7040.437,2.857142,3.378783,2.335502,-99.0,-99.0,1965;1961;1951;1935;1917,4.2;5.0;5.5;6.0;6.8,2015.0,FULL
DWR - DENALI WEST REGION,DWR,area,1.0,10.0,5.0,15.0,4.8,2.4,6.7,6.5,6.9,107617.7,245564.0,46779.69,2.558926,2.780484,2.337368,-99.0,-99.0,1965;1961;1951;1935;1917,4.2;5.0;5.5;6.0;6.8,2015.0,FULL
